img,threeD,in:Iteration,in:Rotation,in:Terrace,in:MaxHeight,out:AverageView,out:AreaDaylightFacade,out:AreaDaylightPlaza,out:AverageSkyExposurePlaza
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00186.jpg,design_explorer_data/kpf/Json/00186.json,186,-180,0.7,249.5,0.645985,102025,12293.26956,0.484581
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00187.jpg,design_explorer_data/kpf/Json/00187.json,187,-180,0.8,227.5,0.625667,98417,12293.26956,0.483824
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00188.jpg,design_explorer_data/kpf/Json/00188.json,188,-180,0.9,227.5,0.615421,98285,12293.26956,0.484233
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00189.jpg,design_explorer_data/kpf/Json/00189.json,189,-180,1,216.5,0.605714,98175,12293.26956,0.482648
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00190.jpg,design_explorer_data/kpf/Json/00190.json,190,-190,0.1,304.5,0.743384,115700.6629,12859.66103,0.501348
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00191.jpg,design_explorer_data/kpf/Json/00191.json,191,-190,0.2,304.5,0.731188,113414.0992,12859.66103,0.49646
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00192.jpg,design_explorer_data/kpf/Json/00192.json,192,-190,0.3,282.5,0.704141,108222.8174,12859.66103,0.487213
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00193.jpg,design_explorer_data/kpf/Json/00193.json,193,-190,0.4,271.5,0.689722,105216.6295,12859.66103,0.48495
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00194.jpg,design_explorer_data/kpf/Json/00194.json,194,-190,0.5,260.5,0.678819,102012.4416,12859.66103,0.484545
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00195.jpg,design_explorer_data/kpf/Json/00195.json,195,-190,0.6,260.5,0.673738,101748.4416,12859.66103,0.48348
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00196.jpg,design_explorer_data/kpf/Json/00196.json,196,-190,0.7,249.5,0.653822,98635.44157,12859.66103,0.481526
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00197.jpg,design_explorer_data/kpf/Json/00197.json,197,-190,0.8,227.5,0.635646,95815.53552,12859.66103,0.479973
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00198.jpg,design_explorer_data/kpf/Json/00198.json,198,-190,0.9,227.5,0.62638,96657.91133,12859.66103,0.479969
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00199.jpg,design_explorer_data/kpf/Json/00199.json,199,-190,1,216.5,0.617769,96689.47504,12859.66103,0.478294
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00200.jpg,design_explorer_data/kpf/Json/00200.json,200,-200,0.1,370.5,0.779708,121918.8142,23703,0.524519
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00201.jpg,design_explorer_data/kpf/Json/00201.json,201,-200,0.2,359.5,0.774974,119027.5938,23629,0.523037
