name,img,threeD,in: Max Height[ft],in: Average Tower Floorplate[sqft],in: Position Index,out: Plaza Analysis Area[sqft],out: Average Daylight Hours Equinox[hr],out: Facade Analysis Area[sqft],out: Area with View[sqft],out: Empire State[sqft],out: Central Park[sqft],out: East River[sqft],out: Daylight Evaluation Score[%]
0353,design_explorer_data/kpf/Images/0353.png,design_explorer_data/kpf/Json/0353.json,910.0,20006.896552,3,45150.0,4.107243,568867.032184,283030.958363,70224.267942,142194.443098,141806.463717,96.5575
0354,design_explorer_data/kpf/Images/0354.png,design_explorer_data/kpf/Json/0354.json,966.0,18851.612903,3,45150.0,4.107243,585366.775321,299530.701501,74349.203726,150444.314667,155342.816124,96.599167
0355,design_explorer_data/kpf/Images/0355.png,design_explorer_data/kpf/Json/0355.json,1036.0,17319.402985,3,45150.0,4.107243,599701.041372,313864.967552,77932.770239,157611.447693,166114.203114,96.8675
0356,design_explorer_data/kpf/Images/0356.png,design_explorer_data/kpf/Json/0356.json,1008.0,17870.769231,3,45150.0,4.107243,594872.1207,308841.758053,76725.540071,155002.69853,165903.513216,96.410833
0357,design_explorer_data/kpf/Images/0357.png,design_explorer_data/kpf/Json/0357.json,1092.0,16461.971831,3,45150.0,4.107243,616200.78451,330170.421863,82057.706023,165667.030435,181900.011073,97.151667
0358,design_explorer_data/kpf/Images/0358.png,design_explorer_data/kpf/Json/0358.json,1162.0,15268.421053,3,45150.0,4.107243,630535.050561,344507.273846,85641.272536,172836.749392,197025.228196,97.319167
0359,design_explorer_data/kpf/Images/0359.png,design_explorer_data/kpf/Json/0359.json,1064.0,16956.521739,3,45150.0,4.113057,611371.863837,329125.272289,82767.040139,165145.502624,183991.518806,96.8025
0360,design_explorer_data/kpf/Images/0360.png,design_explorer_data/kpf/Json/0360.json,1134.0,15697.297297,3,45150.0,4.113057,625706.129888,343459.53834,86350.606651,172312.63565,194742.218345,97.25
0361,design_explorer_data/kpf/Images/0361.png,design_explorer_data/kpf/Json/0361.json,1218.0,14610.0,3,45150.0,4.113057,647034.793698,364788.20215,91682.772604,182976.967555,213393.423558,97.46
0362,design_explorer_data/kpf/Images/0362.png,design_explorer_data/kpf/Json/0362.json,1302.0,13632.55814,3,45150.0,4.113611,667503.552394,394907.963961,97385.070724,198987.605142,240203.727594,97.700833
0363,design_explorer_data/kpf/Images/0363.png,design_explorer_data/kpf/Json/0363.json,952.0,19200.0,3,48800.0,4.257351,583094.844693,306309.721217,76043.958655,153833.824525,159265.535858,99.469167
0364,design_explorer_data/kpf/Images/0364.png,design_explorer_data/kpf/Json/0364.json,994.0,18131.25,3,48800.0,4.257351,591835.000212,315049.876736,78228.997535,158203.902285,166596.611259,99.316667
0365,design_explorer_data/kpf/Images/0365.png,design_explorer_data/kpf/Json/0365.json,1064.0,16695.652174,3,48800.0,4.257351,606169.266263,329384.142788,81812.564048,165371.035311,177347.310797,99.894167
0366,design_explorer_data/kpf/Images/0366.png,design_explorer_data/kpf/Json/0366.json,1036.0,17211.940298,3,48800.0,4.257351,601340.345591,324555.222115,80605.33388,162956.574974,176777.704783,99.550833
0367,design_explorer_data/kpf/Images/0367.png,design_explorer_data/kpf/Json/0367.json,1120.0,15895.890411,3,48800.0,4.257351,622669.009401,345883.885925,85937.499832,173620.906879,192774.20264,99.9975
0368,design_explorer_data/kpf/Images/0368.png,design_explorer_data/kpf/Json/0368.json,1190.0,14769.230769,3,48800.0,4.257351,637003.275452,360218.151977,89521.066345,180788.039905,207039.514649,100.138333
0369,design_explorer_data/kpf/Images/0369.png,design_explorer_data/kpf/Json/0369.json,1092.0,16360.56338,3,48800.0,4.258034,617840.088728,343501.74805,86264.239018,172139.900383,194870.795688,99.938333
