name,img,threeD,in: Max Height,in: Average Tower Floorplate,in: Position Index,out: Plaza Analysis Area,out: Average Daylight Hours Equinox,out: Facade Analysis Area,out: Area with View,out: Empire State,out: Central Park,out: East River,out: Daylight Evaluation Score
0161,design_explorer_data/kpf/Images/0161.png,design_explorer_data/kpf/Json/0161.json,1064.0,16904.347826,4,37775.0,5.18598,601298.645284,312771.26326,90153.871058,151730.160986,153702.881911,88.430833
0162,design_explorer_data/kpf/Images/0162.png,design_explorer_data/kpf/Json/0162.json,770.0,24300.0,4,37775.0,5.18598,528075.798789,237719.523123,72062.428641,116459.627907,78216.284749,87.934167
0163,design_explorer_data/kpf/Images/0163.png,design_explorer_data/kpf/Json/0163.json,812.0,23152.941176,4,37775.0,5.18598,542999.838248,252643.562582,75793.438506,123921.647636,89946.077669,88.085833
0164,design_explorer_data/kpf/Images/0164.png,design_explorer_data/kpf/Json/0164.json,868.0,21621.818182,4,37775.0,5.18598,559499.581385,269143.305719,79918.37429,132171.519205,104614.061511,88.293333
0165,design_explorer_data/kpf/Images/0165.png,design_explorer_data/kpf/Json/0165.json,938.0,19680.0,4,37775.0,5.18598,573833.847436,283477.571771,83501.940803,139338.652231,117006.649369,88.615
0166,design_explorer_data/kpf/Images/0166.png,design_explorer_data/kpf/Json/0166.json,840.0,22120.754717,4,37775.0,5.18598,549468.063139,260377.298887,77410.494729,126938.213265,100064.250625,88.485833
0167,design_explorer_data/kpf/Images/0167.png,design_explorer_data/kpf/Json/0167.json,896.0,20715.789474,4,37775.0,5.18598,565967.806276,276877.042025,81535.430513,135188.084834,114931.608609,88.846667
0168,design_explorer_data/kpf/Images/0168.png,design_explorer_data/kpf/Json/0168.json,966.0,18909.677419,4,37775.0,5.18598,580302.072328,291211.308076,85118.997026,142355.21786,126894.243909,89.186667
0169,design_explorer_data/kpf/Images/0169.png,design_explorer_data/kpf/Json/0169.json,938.0,19560.0,4,37775.0,5.18598,575473.151655,288506.402505,83911.766858,140130.858444,128773.378814,88.910833
0170,design_explorer_data/kpf/Images/0170.png,design_explorer_data/kpf/Json/0170.json,1022.0,17890.909091,4,37775.0,5.18598,596801.815465,309835.066315,89243.93281,150795.190348,145121.907318,88.924167
0171,design_explorer_data/kpf/Images/0171.png,design_explorer_data/kpf/Json/0171.json,1092.0,16512.676056,4,37775.0,5.18598,611136.081516,324446.371,92827.499323,158571.049169,161997.965847,88.995833
0172,design_explorer_data/kpf/Images/0172.png,design_explorer_data/kpf/Json/0172.json,868.0,21163.636364,4,37775.0,5.18598,555936.28803,270769.193346,78913.389493,131912.989505,111738.061698,89.423333
0173,design_explorer_data/kpf/Images/0173.png,design_explorer_data/kpf/Json/0173.json,924.0,19871.186441,4,37775.0,5.18598,572436.031167,287268.936484,83038.325278,140162.861073,126222.824752,89.733333
0174,design_explorer_data/kpf/Images/0174.png,design_explorer_data/kpf/Json/0174.json,994.0,18187.5,4,37775.0,5.18598,586770.297219,301603.202535,86621.89179,147329.994099,137755.507495,89.8075
0175,design_explorer_data/kpf/Images/0175.png,design_explorer_data/kpf/Json/0175.json,966.0,18793.548387,4,37775.0,5.18598,581941.376546,298321.712344,85414.661622,144914.337218,139296.712872,89.688333
0176,design_explorer_data/kpf/Images/0176.png,design_explorer_data/kpf/Json/0176.json,1050.0,17241.176471,4,37775.0,5.18598,603270.040356,319650.376153,90746.827575,155578.669123,155215.288819,89.764167
0177,design_explorer_data/kpf/Images/0177.png,design_explorer_data/kpf/Json/0177.json,1120.0,15945.205479,4,37775.0,5.18598,617604.306407,334215.134072,94330.394088,162947.84877,172021.527198,90.06
0178,design_explorer_data/kpf/Images/0178.png,design_explorer_data/kpf/Json/0178.json,1022.0,17781.818182,4,37775.0,5.18598,598441.119684,322473.054942,91269.351268,156208.2166,160288.281959,89.686667
0179,design_explorer_data/kpf/Images/0179.png,design_explorer_data/kpf/Json/0179.json,1092.0,16411.267606,4,37775.0,5.18598,612775.385735,336807.320993,94852.91778,163375.349626,170906.755027,90.031667
0180,design_explorer_data/kpf/Images/0180.png,design_explorer_data/kpf/Json/0180.json,1176.0,15225.974026,4,37775.0,5.18598,634104.049545,358138.570734,100185.083733,174039.681531,191267.426742,90.296667
0181,design_explorer_data/kpf/Images/0181.png,design_explorer_data/kpf/Json/0181.json,1260.0,14168.674699,4,37775.0,5.18598,654572.80824,386094.952173,107167.239763,189402.460386,215282.351227,90.226667
0182,design_explorer_data/kpf/Images/0182.png,design_explorer_data/kpf/Json/0182.json,714.0,26400.0,4,42000.0,5.133145,510112.612581,221786.248447,69000.166183,107101.906301,66914.996326,88.32
